"Name of Satellite, Alternate Names","Current Official Name of Satellite","Country/Org of UN Registry","Country of Operator/Owner",Operator/Owner,Users,Purpose,"Detailed Purpose","Class of Orbit","Type of Orbit","Longitude of GEO (degrees)","Perigee (km)","Apogee (km)",Eccentricity,"Inclination (degrees)","Period (minutes)","Launch Mass (kg.)","Dry Mass (kg.)","Power (watts)","Date of Launch","Expected Lifetime (yrs.)",Contractor,"Country of Contractor","Launch Site","Launch Vehicle","COSPAR Number","NORAD Number",Comments
"Adelis-Sampson 3","Adelis-Sampson 3",NR,Israel,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Government,"Technology Development",,LEO,Sun-Synchronous,0,537,561,0.001734354675531146,97.5,95.5,9,,,2021/03/22,,"Asher Space Research Institute at Technion/Israeli Aircraft Industries",Israel,"Baikonur Cosmodrome",Soyuz-2.1a,2021-022M,47943,"Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter."
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA 311",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,0,35700,35800,0.0011870845204178537,0,1437.6,5400,,,2020/12/11,,"National Reconnaissance Laboratory (?)",USA,"Cape Canaveral","Delta 4 Heavy",2020-095A,47237,ELINT.
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA 139",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,-26,35560,36013,0.005372836929061948,7.72,1436.14,5200,,,1998/05/09,,"TRW Space and Electronics",USA,"Cape Canaveral","Titan IVA",1998-029A,25336,ELINT.
"Advanced Orion 5 (Mentor, NROL 19, USA 171)","USA 171",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,68,35589,35984,0.004684924033067262,3.2,1436.1,5200,,,2003/09/09,,"TRW Space and Electronics",USA,"Cape Canaveral","Titan IV",2003-041A,27937,"Electronic intelligence (ELINT). "
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)","USA 202",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,44,35714,35937,0.0026424618738965055,2.89,1438.8,5400,,,2009/01/18,,"National Reconnaissance Laboratory (?)",USA,"Cape Canaveral","Delta 4 Heavy",2009-001A,33490,ELINT.
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)","USA 223",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,95,35500,35500,0,0,1436,5000,,,2010/11/21,,"National Reconnaissance Laboratory (?)",USA,"Cape Canaveral","Delta 4 Heavy",2010-063A,37232,ELINT.
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)","USA 237",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,60,35771,35805,0.0004032449357180132,0,1436.1,5000,,,2012/06/29,,"National Reconnaissance Laboratory (?)",USA,"Cape Canaveral","Delta 4 Heavy",2012-034A,38528,ELINT.
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)","USA 268",USA,USA,"National Reconnaissance Office (NRO)",Military,"Earth Observation","Electronic Intelligence",GEO,,102.6,35613,35903,0.003441891378655526,7.51,1437.19,5000,,,2016/06/11,,"National Reconnaissance Laboratory (?)",USA,"Cape Canaveral","Delta 4 Heavy",2016-036A,41584,ELINT.
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)","USA 235",USA,USA,"US Air Force",Military,Communications,,GEO,,-120,35772,35801,0.00034395644799734324,2.34,1436.1,6169,,,2012/05/03,14,"Lockheed Martin Space Systems",USA,"Cape Canaveral","Atlas 5",2012-019A,38254,"Second in constellation."
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)","USA 246",NR,USA,"US Air Force",Military,Communications,,GEO,,152.1,35700,35803,0.0012226535142385718,4.2,1436.1,6169,,,2013/09/18,14,"Lockheed Martin Space Systems",USA,"Cape Canaveral","Atlas 5",2013-050A,39256,"Third in constellation."
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)","USA 288",USA,USA,"US Air Force",Military,Communications,,GEO,,150.2,35781,35790,0.00010674763672593138,0.05,1436.1,6169,,,2018/10/17,,"Lockheed Martin Space Systems",USA,"Cape Canaveral","Atlas 5",2018-079A,43651,
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)","USA 292",USA,USA,"US Air Force",Military,Communications,,GEO,,-94.39,35780,35810,0.0003557452863749555,6.4,1436.2,6169,,,2019/08/08,,"Lockheed Martin Space Systems",USA,"Cape Canaveral","Atlas 5",2019-051A,44481,
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)","USA 298",USA,USA,"US Air Force ",Military,Communications,,GEO,,0,35780,35780,0,0,1436,6169,,,2020/03/26,,"Lockheed Martin Space Systems",USA,"Cape Canaveral","Atlas 5",2020-022B,45465,
Aeneas,Aeneas,USA,USA,"Department of Homeland Security",Government,"Technology Development",,LEO,Equatorial,0,480,790,0.02212705210563883,0.02,97.4,3,,,2012/09/13,,"University of Southern California",USA,"Vandenberg AFB","Atlas 5",2012-048C,38760,"Demonstration program to track cargo containers worldwide."
Aeolus,Aeolus,ESA,ESA,"European Space Agency (ESA)",Government,"Earth Observation","Earth Science",LEO,,0,314,317,0.0002243661655822302,96.7,92.4,1367,,,2018/08/22,3,"Airbus Defense and Space",France/UK/Germany/Spain,"Guiana Space Center",Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
"Aerocube 10A (Jimsat)","Aerocube 10A",USA,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,469,481,0.0008765522279035792,51.6,94.15,2,,,2019/08/09,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2019-022D,44485,
"Aerocube 10B (Dougsat)","Aerocube 10B",USA,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,471,483,0.0008762961881115817,51.6,94.15,2,,,2019/08/09,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2019-022C,44484,
"Aerocube 11A (TOMSat Eagle Scout)","Aerocube 11A",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Polar,0,495,511,0.0011639749745380474,85.03,94.6,4,,,2018/12/17,,"Aerospace Corporation",USA,"Rocket Lab Launch Complex 1",Electron,2018-104N,43861,"Will test miniaturized imagers."
"Aerocube 11B (TOMSat R3)","Aerocube 11B",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Polar,0,492,511,0.0013825220112057047,85.3,94.6,4,,,2018/12/17,,"Aerospace Corporation",USA,"Rocket Lab Launch Complex 1",Electron,2018-104A,43849,"Will test miniaturized imagers."
"Aerocube 12A","Aerocube 12A",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,481,487,0.0004377006127808579,51.6,94.2,4,,,2018/07/16,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2018-046C,43556,
"Aerocube 12B","Aerocube 12B",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,481,487,0.0004377006127808579,51.6,94.2,4,,,2018/07/16,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2018-046D,43557,
"Aerocube 14A","Aerocube 14A",USA,USA,"Aerospace Corporation",Military,"Technology Development",,LEO,"Non-Polar Inclined",0,459,474,0.0010970525853872596,51.6,93.9,,,,2020/01/31,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
"Aerocube 14B","Aerocube 14B",USA,USA,"Aerospace Corporation",Military,"Technology Development",,LEO,"Non-Polar Inclined",0,459,474,0.0010970525853872596,51.6,93.9,,,,2020/01/31,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
"Aerocube 15A","Aerocube 15A",USA,USA,"Aerospace Corporation",Military,"Technology Development",,LEO,"Non-Polar Inclined",0,458,474,0.0011702750146284377,51.6,93.9,,,,2020/01/31,,"Aerospace Corporation",USA,Cygnus,"Nanorack Deployer",2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
"Aerocube 5C","Aerocube 5C",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,500,802,0.021506907847884917,64.78,97.74,1.5,,,2015/10/08,,"Aerospace Corporation",USA,"Vandenberg AFB","Atlas 5",2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication."
"Aerocube 6A","Aerocube 6A",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,614,700,0.006119254304824249,97.98,97.88,5,,,2014/06/19,3,"Aerospace Corporation",USA,"Dombarovsky Air Base",Dnepr,2014-033AM,40045,"Technology development for cubesat constellation."
"Aerocube 6B","Aerocube 6B",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,614,700,0.006119254304824249,97.98,97.88,5,,,2014/06/19,3,"Aerospace Corporation",USA,"Dombarovsky Air Base",Dnepr,2014-033AN,40046,"Technology development for cubesat constellation."
"Aerocube 7A","Aerocube 7A",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,500,802,0.021506907847884917,64.6,97.4,2,,,2015/10/08,,"Aerospace Corporation",USA,"Vandenberg AFB","Atlas 5",2015-058C,40966,
"Aerocube 7B","Aerocube 7B",USA,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,432,437,0.000367403923873907,53.6,93.2,2,,,2017/11/12,,"Aerospace Corporation",USA,"Wallops Island Flight Facility","Antares 230",2017-071F,43042,
"Aerocube 7C","Aerocube 7C",USA,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,"Non-Polar Inclined",0,432,437,0.000367403923873907,53.6,93.2,2,,,2017/11/12,,"Aerospace Corporation",USA,"Wallops Island Flight Facility","Antares 230",2017-071G,43043,
"Aerocube 8C","Aerocube 8C",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,569,584,0.0010796804145972792,97.9,96.2,5,,,2016/11/11,,"Aerospace Corporation",USA,"Vandenberg AFB","Atlas 5",2016-067F,41853,
"Aerocube 8D","Aerocube 8D",NR,USA,"Aerospace Corporation",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,572,584,0.0008635578583765112,98,96.23,2,,,2016/11/11,,"Aerospace Corporation",USA,"Vandenberg AFB","Atlas 5",2016-067E,41852,
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])","Eutelsat 48D",France,Multinational,"EUTELSAT S.A.",Commercial,Communications,,GEO,,48.00,35764,35808,0.0005218711452699497,0.12,1436.08,3460,1555,7000,2008/12/20,15,"EADS Astrium",France,"Guiana Space Center","Ariane 5",2008-065B,33460,"30 Ku-band transponders."
AII-Bravo,AII-Bravo,Lithuania,USA,"Aurora Insight",Commercial,Communications,,LEO,Sun-Synchronous,0,609,613,0.00028649190660363845,97.8,95.8,9,,,2021/04/29,,NanoAvionics,USA,"Guiana Space Center","Vega W18",2021-034C,48270,
AII-Charlie,AII-Charlie,"NR (5/21)",USA,"Aurora Insight",Commercial,Communications,,LEO,Sun-Synchronous,0,522,535,0.0009422338189461477,97.5,95.2,9,,,2021/01/24,,NanoAvionics,USA,"Cape Canaveral","Falcon 9",2021-006AD,47440,"Scann RF spectrum on Earth and detecting where different network technologies, including 5G, have been deployed."
"AIM (Aeronomy of Ice in Mesosphere)",AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,544,552,0.0005782017924255566,97.9,96.2,215,197,216,2007/04/25,2,"Orbital Sciences Corp.",USA,"Vandenberg AFB","Pegasus XL",2007-015A,31304,"Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012."
"AISSat-1 (Automatic Identification System Satellite-1)",AISSat-1,Norway,Norway,"Norwegian Coastal Admnistration",Government,Communications,"Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,615,632,0.001215414313290913,98,97.2,6,,,2010/07/12,3,"Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies",Canada,"Satish Dhawan Space Centre",PSLV,2010-035C,36797,"Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies."
"AISSat-2 (Automatic Identification System Satellite-2)",AISSat-2,Norway,Norway,"Norwegian Coastal Admnistration",Government,Communications,"Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,625,631,0.00042869391254644185,98.4,97.27,6,,,2014/07/08,3,"Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies",Norway/Canada,"Baikonur Cosmodrome",Soyuz-2.1b,2014-037G,40075,"Second in the series."
AISTechSat-2,AISTechSat-2,Spain,Spain,AISTech,Commercial,"Earth Observation","Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,574,592,0.0012944052926794189,97.8,96.4,2.6,,,2018/12/03,,"GomSpace ApS",Denmark,"Vandenberg AFB","Falcon 9",2018-099L,43768,"First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight."
AISTechSat-3,AISTechSat-3,Spain,Spain,AISTech,Commercial,"Earth Observation","Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,490,506,0.0011648223645894002,97.5,94.6,2.3,,,2019/04/01,,"GomSpace ApS",Denmark,"Satish Dhawan Space Centre",PSLV,2019-018AB,44103,"Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services."
"Al Yah-3","Al Yah-3",Brazil,"United Arab Emirates","Al Yah Satellite Communications Co. (YAHSAT)",Commercial,Communications,,GEO,,-20,35777,35796,0.00022535077627412143,0,1436,3795,,,2018/01/25,15,"Orbital ATK",USA,"Guiana Space Center","Ariane 5",2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
"Alcomsat (Algerian Communications Satellite)",Alcomsat,Algeria,Algeria,"Algerian Space Agency (ASAL)",Government,Communications,,GEO,,-24.8,35744,35798,0.0006407062006122304,0.04,1436.1,5225,,,2017/12/10,15,"China Academy of Space Technology (CAST)",China,"Xichang Satellite Launch Center","Long March 3B",2017-078A,43039,"Algeria's first communications satellite."
"ALE-2 (Astro Live Experiences-2)",ALE-2,NR,Japan,"Astro Live Experiences",Commercial,"Earth Science",,LEO,Sun-Synchronous,0,397,414,0.0012545199616264483,97.01,92.06,75,,,2019/12/06,,"Astro Live Experiences",Japan,"Rocket Lab Launch Complex 1",Electron,2019-084A,44824,"Planned display of colorful meteor-like lights for Tokyo Summer Olympics."
"Alfa Crux","Alfa Crux","NR (4/22)",Brazil,"University of Brasilia",Civil,"Technology Development",,LEO,Sun-Synchronous,0,499,511,511,97.4,95,1,,,2022/04/01,,"University of Brasilia",Brazil,"Cape Canaveral","Falcon 9",2022-033D,52160,"Technology development/demonstration."
Al-Farabi-2,Al-Farabi-2,NR,Kazakhstan,"Al-Farabi Kazakh National University",Civil,"Technology Development",,LEO,Sun-Synchronous,0,573,589,0.0011509135376204863,97.7,96.2,4,,,2018/12/03,,"Al-Farabi Kazakh National University",Kazakhstan,"Vandenberg AFB","Falcon 9",2018-099AZ,43805,"Technology demonstration mission."
"ALiCE  (AFIT LEO iMESA CNT E)",ALiCE,NR,USA,"US Air Force Institute of Technology",Military,"Technology Development",,LEO,Polar,0,443,886,0.03148766792238254,120.3,98,5,,,2013/12/06,,"US Air Force Institute of Technology",USA,"Vandenberg AFB","Atlas 5",2013-072F,39467,"Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions."
Alsat-1B,Alsat-1B,Algeria,Algeria,"Algerian Space Agency (ASAL)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,661,704,0.0030485643388869195,98.2,98.4,103,,,2016/09/26,5,"Surrey Satellite Technology Ltd.",UK,"Satish Dhawan Space Centre",PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
Alsat-1N,AlSat-1N,Algeria,Algeria,"Algerian Space Agency (ASAL)/UK Space Agency",Government,"Technology Development",,LEO,Sun-Synchronous,0,661,698,0.0026242995957160083,98.2,98.3,10,,,2016/09/26,,"Surrey Satellite Technology Ltd.",UK,"Satish Dhawan Space Centre",PSLV,2016-059G,41789,"Technology demonstration satellite for Algerian students."
"Alsat-2A (Algeria Satellite 2A)",Alsat-2A,Algeria,Algeria,"Algerian Space Agency (ASAL)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,672,674,0.0001419849495953429,98.1,98.2,130,,,2010/07/12,5,"EADS Astrium",France/UK/Germany/Spain,"Satish Dhawan Space Centre",PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
Alsat-2B,Alsat-2B,Algeria,Algeria,"Algerian Space Agency (ASAL)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,646,660,0.0009967250462765201,98.2,97.7,117,,,2016/09/26,5,"Airbus Defense and Space",France/UK/Germany/Spain,"Satish Dhawan Space Centre",PSLV,2016-059D,41786,Surveillance.
Amazonas-2,Amazonas-2,Brazil,Spain,"Hispamar (subsidiary of Hispasat - Spain)",Commercial,Communications,"Optical Imaging",GEO,,-61,35767,35805,0.00045070689818768383,0.03,1436.08,5465,,15300,2009/10/01,15,"EADS Astrium",France/UK/Germany/Spain,"Guiana Space Center","Ariane 5",2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America."
Amazonas-3,Amazonas-3,Brazil,Spain,"Hispamar (subsidiary of Hispasat - Spain)",Commercial,Communications,,GEO,,-61,35781,35791,0.00011860707847044311,0.03,1436.05,6265,2778,14000,2013/02/07,15,"Space Systems/Loral",USA,"Guiana Space Center","Ariane 5 ECA",2013-006A,39078,
Amazonas-4A,Amazonas-4A,NR,Spain,"Hispamar (subsidiary of Hispasat - Spain)",Commercial,Communications,,GEO,,-61,35784,35795,0.00013045695513466714,0.08,1436.24,2938,,,2014/03/22,15,"Orbital Sciences Corp.",USA,"Guiana Space Center","Ariane 5 ECA",2014-011A,39616,"Suffered a power malfunction shortly after entering orbit; will affect capacity."
Amazonas-5,Amazonas-5,NR,Spain,"Hispamar (subsidiary of Hispasat - Spain)",Commercial,Communications,,GEO,,-61,35785,35789,4.74417060037479E-05,0.04,1436.11,5900,,,2017/09/12,15,"Space Systems/Loral",USA,"Baikonur Cosmodrome",Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band"
"Amazonia-1 (SSR-1)",Amazonia-1,"NR (5/21)",Brazil,"National Institute for Space Research (INPE)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,761,764,0.0002103049421661409,98.5,99.9,637,,,2021/02/28,4,"National Institute for Space Research (INPE)",Brazil,"Satish Dhawan Space Centre",PSLV,2021-015A,47699,"First earth observation satellite produced entirely by Brazil."
"AMC-1 (Americom 1, GE-1)",AMC-1,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-129.15,35772,35800,0.00033209981971724073,0.03,1436.1,2783,1600,"6,500 (EOL)",1996/09/08,15,"Lockheed Martin Commercial Space Systems",USA,"Cape Canaveral","Atlas 2A",1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-130.93,35774,35797,0.00027279951607738016,0.04,1436.07,2340,2316,"6,500 (EOL)",2004/05/19,15,"Lockheed Martin",USA,"Cape Canaveral","Atlas 2AS",2004-017A,28252,"24 C-band transponders."
"AMC-15 (Americom-15)",AMC-15,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-105.04,35777,35795,0.0002134927412467976,0.04,1436.08,4200,,,2004/10/14,15,"Lockheed Martin",USA,"Baikonur Cosmodrome","Proton M",2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
"AMC-18 (Americom 18)",AMC-18,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-104.97,35773,35800,0.00032023531365269885,0.06,1436.1,2081,918,,2006/12/08,15,"Lockheed Martin Missiles & Space",USA,"Guiana Space Center","Ariane 5",2006-054B,29644,"All c-band transponders for North American coverage."
"AMC-21 (Americom 21)",AMC-21,"United Kingdom",USA,"SES S.A.",Commercial,Communications,,GEO,,-124.86,35778,35793,0.00017791272787655228,3,1436.1,2500,,5000,2008/08/14,15,"Orbital Sciences Corp.",USA,"Guiana Space Center","Ariane 5 ECA",2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean."
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,"SES S.A./Gogo",Commercial,Communications,,GEO,,-100.99,35781,35791,0.00011860707847044311,0.01,1436.1,3909,2500,,1999/11/13,15,"Lockheed Martin Commercial Space Systems",USA,"Guiana Space Center","Ariane 44LP",1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-71.98,35778,35795,0.00020162964192947707,0.05,1436.12,3901,2500,,2000/10/22,15,"Lockheed Martin Commercial Space Systems",USA,"Baikonur Cosmodrome","Proton K",2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,"SES S.A.",Commercial,Communications,,GEO,,-139,35773,35798,0.00029652121312758714,0.03,1436.07,2015,919,3300,2000/12/19,15,"Lockheed Martin Commercial Space Systems",USA,"Guiana Space Center","Ariane 5G",2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
"AmGU-1 (AmurSat-1)",AmGU-1,Russia,Russia,"Moscow State University",Civil,"Space Science",,LEO,Sun-Synchronous,0,514,547,0.0023911310774581552,97.5,95.2,4,,,2019/07/05,,"Moscow State University",Russia,"Vostochny Cosmodrome",Soyuz-2.1b,2019-038J,44394,"Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena."
"Amos 17","Amos 17",NR,Israel,"Space-Communication Ltd.",Military/Commercial,Communications,,GEO,,17,35777,35793,0.00018977582730399716,0,1436.04,6500,,,2019/08/06,20,"Boeing Satellite Systems",USA,"Cape Canaveral","Falcon 9",2019-050A,44479,"Replaces Amos 5 which failed in 2015."
"Amos 3","Amos 3",NR,Israel,"Space-Communication Ltd.",Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.116424708226587E-05,0.04,1436.1,,,,2008/04/28,12,"Israel Aircraft Industries (IAI)",Israel,"Baikonur Cosmodrome","Zenit 3SLB",2008-022A,32794,"15 transponders, Ku and Ka bands."
