HR,RA,DEC,RA_flt,DEC_flt,Vmag,B_V
25,00 09 24.7,-45 44 51,2.3529166666666668,-45.7475,3.88,1.03
26,00 10 02.3,+11 08 44,2.509583333333333,11.145555555555555,5.51,-0.07
27,00 10 19.3,+46 04 20,2.580416666666667,46.07222222222222,5.03,0.4
28,00 10 29.7,+57 09 56,2.62375,57.16555555555556,6.74,-0.08
29,00 10 18.8,-05 14 55,2.578333333333333,-5.248611111111111,5.84,0.98
30,00 10 02.1,-82 13 26,2.5087499999999996,-82.2238888888889,5.28,1.05
31,00 10 42.8,-12 34 48,2.6783333333333332,-12.58,5.85,1.01
32,00 10 38.6,-73 13 28,2.660833333333333,-73.22444444444444,6.64,0.37
33,00 11 15.9,-15 28 05,2.81625,-15.468055555555555,4.89,0.49
34,00 11 34.4,-27 47 59,2.8933333333333335,-27.799722222222226,5.41,1.34
35,00 11 44.0,-35 07 59,2.933333333333333,-35.13305555555556,5.25,0.44
36,00 11 59.1,+48 09 09,2.99625,48.152499999999996,6.16,1.45
37,00 12 10.0,-17 56 18,3.0416666666666665,-17.938333333333333,5.25,1.48
38,00 12 50.4,+37 41 36,3.2100000000000004,37.69333333333333,6.73,-0.13
39,00 13 14.2,+15 11 01,3.3091666666666666,15.18361111111111,2.83,-0.23
40,00 13 24.0,+26 59 14,3.35,26.987222222222222,6.3,0.65
41,00 13 30.8,+41 02 07,3.3783333333333334,41.03527777777778,5.72,0.31
42,00 13 42.1,-26 01 19,3.425416666666667,-26.021944444444443,5.94,1.55
43,00 13 44.2,-26 17 05,3.4341666666666666,-26.284722222222225,6.31,1.48
44,00 14 02.3,+33 12 22,3.5095833333333335,33.20611111111111,6.25,-0.01
45,00 14 36.2,+20 12 24,3.6508333333333334,20.206666666666667,4.8,1.57
46,00 14 27.6,-07 46 50,3.6149999999999998,-7.780555555555556,5.12,1.62
47,00 13 19.4,-84 59 39,3.3308333333333335,-84.99416666666667,5.77,1.72
48,00 14 38.4,-18 55 58,3.66,-18.93277777777778,4.44,1.66
49,00 14 56.1,+22 17 03,3.73375,22.284166666666668,6.24,-0.01
50,00 14 58.8,+08 49 15,3.745,8.820833333333333,5.79,0.31
51,00 14 54.5,-09 34 11,3.7270833333333333,-9.569722222222222,5.75,-0.08
52,00 15 07.0,+31 32 09,3.7791666666666672,31.535833333333336,6.45,
53,00 15 10.6,+27 16 59,3.794166666666667,27.283055555555556,6.35,-0.02
54,00 14 58.2,-34 54 16,3.7425,-34.904444444444444,6.17,1.34
55,00 16 14.0,+76 57 03,4.058333333333334,76.95083333333334,6.35,-0.07
56,00 16 21.6,+43 35 41,4.09,43.594722222222224,6.15,0.05
57,00 16 08.9,-31 26 47,4.037083333333333,-31.44638888888889,5.67,1.35
58,00 15 55.2,-75 54 41,3.9799999999999995,-75.9113888888889,6.49,1.0
59,00 16 34.1,+08 14 24,4.142083333333333,8.239999999999998,6.11,0.92
60,00 16 57.1,+61 32 00,4.237916666666666,61.53333333333333,5.74,0.88
61,00 16 42.5,-20 12 38,4.177083333333334,-20.210555555555555,6.47,-0.09
62,00 17 09.1,+47 56 51,4.287916666666667,47.9475,5.89,-0.09
63,00 17 05.5,+38 40 54,4.272916666666667,38.681666666666665,4.61,0.06
64,00 16 49.0,-78 46 50,4.204166666666667,-78.78055555555555,6.77,0.46
65,00 17 43.0,+51 25 59,4.429166666666666,51.433055555555555,6.14,-0.13
66,00 17 32.6,-19 03 04,4.385833333333333,-19.051111111111112,6.45,0.37
67,00 17 47.7,+01 41 20,4.4487499999999995,1.6888888888888889,6.17,0.94
68,00 18 19.7,+36 47 07,4.582083333333333,36.78527777777778,4.52,0.05
69,00 18 17.2,+11 12 21,4.571666666666666,11.205833333333333,6.05,1.03
70,00 18 42.1,+43 47 28,4.675416666666667,43.79111111111111,6.11,-0.08
71,00 18 38.3,+31 31 02,4.659583333333333,31.51722222222222,5.87,-0.01
72,00 18 41.8,-08 03 10,4.674166666666666,-8.052777777777779,6.46,0.68
73,00 18 42.6,-43 14 07,4.677499999999999,-43.23527777777778,6.33,1.21
74,00 19 25.7,-08 49 26,4.857083333333334,-8.823888888888888,3.56,1.22
75,00 19 41.6,+40 43 47,4.923333333333333,40.72972222222222,6.33,1.18
76,00 20 05.2,+48 51 55,5.0216666666666665,48.86527777777778,6.52,
77,00 20 04.3,-64 52 29,5.017916666666666,-64.87472222222222,4.23,0.58
78,00 20 24.4,+30 56 09,5.101666666666667,30.935833333333335,5.9,-0.1
79,00 20 45.5,+32 54 41,5.189583333333332,32.91138888888889,5.79,1.59
80,00 20 35.9,+08 11 25,5.149583333333333,8.190277777777778,5.37,1.34
81,00 20 54.5,+10 58 37,5.227083333333333,10.976944444444445,6.56,
82,00 21 07.3,+37 58 07,5.2804166666666665,37.968611111111116,5.18,0.42
83,00 20 39.0,-69 37 30,5.1625,-69.625,5.51,-0.05
84,00 21 31.2,-28 58 54,5.38,-28.981666666666666,5.18,1.0
85,00 21 46.3,-20 03 28,5.442916666666666,-20.05777777777778,5.12,1.82
86,00 22 25.5,+13 28 57,5.606249999999999,13.4825,6.23,1.22
87,00 21 28.6,-77 25 37,5.369166666666666,-77.42694444444444,5.97,1.4
88,00 22 51.8,-12 12 34,5.715833333333333,-12.209444444444443,6.39,0.66
89,00 23 12.6,-31 02 10,5.8025,-31.03611111111111,6.55,0.0
90,00 24 02.0,+38 34 38,6.008333333333333,38.577222222222225,7.39,1.97
91,00 24 15.6,+52 01 12,6.065,52.019999999999996,5.57,-0.12
93,00 24 47.5,+61 49 52,6.197916666666667,61.83111111111111,5.4,0.0
94,00 24 29.7,-02 13 09,6.12375,-2.2191666666666667,6.07,1.22
96,00 25 06.4,+53 02 49,6.276666666666666,53.04694444444444,5.74,-0.06
97,00 25 24.2,+01 56 23,6.350833333333334,1.9397222222222223,5.77,0.86
98,00 25 45.1,-77 15 15,6.437916666666667,-77.25416666666666,2.8,0.62
99,00 26 17.0,-42 18 22,6.570833333333334,-42.30611111111111,2.39,1.09
100,00 26 12.2,-43 40 48,6.550833333333333,-43.68,3.94,0.17
101,00 26 37.4,-00 02 59,6.655833333333334,-0.04972222222222222,6.19,0.9
102,00 27 14.7,-25 32 50,6.81125,-25.547222222222224,5.98,1.03
103,00 28 02.9,+17 53 35,7.012083333333334,17.893055555555556,5.06,1.65
104,00 28 13.7,+44 23 40,7.057083333333334,44.394444444444446,5.17,0.03
105,00 27 55.7,-33 00 26,6.982083333333334,-33.007222222222225,4.81,1.64
106,00 28 12.7,+16 26 42,7.052916666666667,16.445,6.06,1.58
107,00 28 20.1,+10 11 23,7.08375,10.189722222222223,6.04,0.43
108,00 28 21.1,-20 20 06,7.087916666666667,-20.334999999999997,6.43,0.59
109,00 28 26.4,-39 54 54,7.11,-39.915,5.43,1.56
110,00 28 56.6,+36 54 00,7.235833333333334,36.9,6.26,0.92
111,00 28 43.1,-50 31 58,7.179583333333333,-50.532777777777774,6.26,1.09
112,00 30 55.0,+77 01 10,7.729166666666666,77.01944444444445,6.21,0.84
113,00 30 19.9,+59 58 38,7.582916666666667,59.977222222222224,5.94,0.01
114,00 30 07.3,+29 45 06,7.530416666666666,29.751666666666665,5.23,0.24
115,00 29 51.9,-14 51 51,7.4662500000000005,-14.864166666666666,6.14,0.37
116,00 29 48.9,-32 07 00,7.45375,-32.11666666666667,6.57,1.34
117,00 30 02.4,-03 57 26,7.510000000000001,-3.957222222222222,5.72,1.56
118,00 30 22.7,-23 47 16,7.5945833333333335,-23.78777777777778,5.19,0.12
119,00 30 27.8,-40 56 22,7.615833333333333,-40.93944444444444,6.19,0.33
120,00 30 26.1,-48 12 54,7.60875,-48.215,5.69,0.35
121,00 31 25.3,+66 31 10,7.855416666666667,66.51944444444445,6.18,-0.1
122,00 31 25.6,+33 34 54,7.8566666666666665,33.58166666666667,5.87,1.14
123,00 31 46.4,+54 31 20,7.943333333333333,54.52222222222222,4.73,-0.1
124,00 31 41.2,+52 50 22,7.921666666666668,52.839444444444446,5.6,1.15
125,00 31 25.0,-48 48 13,7.854166666666667,-48.80361111111111,4.77,0.02
126,00 31 32.7,-62 57 29,7.88625,-62.95805555555556,4.37,-0.07
127,00 31 33.6,-62 57 57,7.890000000000001,-62.965833333333336,4.54,0.15
128,00 32 26.8,+43 29 41,8.111666666666666,43.49472222222222,6.7,-0.01
129,00 33 19.3,+70 58 54,8.330416666666668,70.98166666666667,6.42,-0.01
130,00 33 00.0,+62 55 54,8.25,62.931666666666665,4.16,0.14
131,00 32 35.5,+20 17 40,8.147916666666667,20.294444444444448,5.38,1.08
132,00 32 23.8,+06 57 20,8.099166666666667,6.955555555555556,5.67,0.0
133,00 32 34.5,+27 34 50,8.14375,27.580555555555556,6.67,
134,00 32 49.1,+28 16 49,8.204583333333332,28.280277777777776,6.3,1.0
135,00 33 10.4,+54 53 42,8.293333333333335,54.894999999999996,5.93,1.04
136,00 32 43.8,-63 01 52,8.1825,-63.03111111111111,5.09,0.04
137,00 34 24.9,+66 45 01,8.60375,66.75027777777778,6.48,-0.08
138,00 33 41.1,-29 33 30,8.42125,-29.558333333333334,5.55,1.27
139,00 33 23.3,-71 15 58,8.347083333333334,-71.26611111111112,6.13,0.23
140,00 34 27.8,-52 22 23,8.615833333333333,-52.37305555555555,5.57,0.47
141,00 34 55.3,+13 22 16,8.730416666666667,13.371111111111112,6.4,
142,00 35 14.9,-03 35 34,8.812083333333334,-3.592777777777778,5.2,0.56
143,00 35 32.8,-00 30 20,8.886666666666667,-0.5055555555555555,5.93,0.44
144,00 36 08.3,+54 10 07,9.034583333333334,54.16861111111111,5.08,-0.11
145,00 35 54.7,+13 12 24,8.977916666666667,13.206666666666665,6.41,0.52
146,00 36 27.3,+60 19 34,9.11375,60.32611111111112,5.79,0.29
147,00 35 41.1,-48 00 03,8.92125,-48.00083333333333,5.51,0.44
148,00 35 33.4,-54 49 19,8.889166666666668,-54.82194444444445,6.06,1.01
149,00 36 20.0,+27 15 17,9.083333333333332,27.254722222222224,6.5,-0.09
150,00 36 03.0,-14 58 25,9.0125,-14.973611111111111,6.45,1.06
151,00 36 06.9,-22 50 33,9.02875,-22.842499999999998,6.06,0.29
152,00 36 46.6,+44 29 19,9.194166666666666,44.48861111111111,5.13,1.6
153,00 36 58.3,+53 53 49,9.242916666666666,53.89694444444444,3.66,-0.2
154,00 36 52.9,+33 43 10,9.220416666666667,33.71944444444445,4.36,-0.14
155,00 36 47.3,+15 13 54,9.197083333333333,15.231666666666667,5.89,-0.15
156,00 37 07.2,+24 00 51,9.280000000000001,24.014166666666668,6.47,
157,00 37 21.1,+35 23 58,9.337916666666667,35.39944444444444,5.48,0.88
158,00 39 47.3,+82 29 38,9.947083333333333,82.49388888888889,6.4,0.55
159,00 37 20.7,-24 46 02,9.336250000000001,-24.76722222222222,5.57,0.72
160,00 36 37.4,-65 07 29,9.155833333333334,-65.12472222222222,6.42,1.26
161,00 37 30.5,+03 08 07,9.377083333333333,3.1352777777777776,6.39,1.33
162,00 37 18.1,-54 23 39,9.325416666666667,-54.39416666666666,6.41,1.0
163,00 38 33.3,+29 18 42,9.63875,29.311666666666667,4.37,0.87
164,00 39 09.9,+49 21 16,9.791250000000002,49.35444444444445,5.43,1.64
165,00 39 19.7,+30 51 39,9.832083333333333,30.860833333333336,3.27,1.28
166,00 39 21.8,+21 15 02,9.840833333333334,21.250555555555554,5.87,0.85
167,00 39 55.6,+21 26 18,9.981666666666667,21.438333333333333,5.36,1.16
168,00 40 30.5,+56 32 14,10.127083333333333,56.53722222222222,2.23,1.17
169,00 38 40.8,-73 08 14,9.67,-73.13722222222223,6.85,0.11
170,00 39 57.9,-33 57 42,9.99125,-33.961666666666666,6.69,0.51
171,00 39 52.0,-44 47 48,9.966666666666667,-44.79666666666667,6.01,1.14
172,00 40 28.6,-16 31 01,10.119166666666665,-16.516944444444444,6.49,0.92
173,00 40 32.9,-23 48 16,10.137083333333333,-23.804444444444446,6.14,0.7
174,00 40 42.4,-04 21 07,10.176666666666666,-4.351944444444444,5.91,1.1
175,00 41 07.2,+39 27 31,10.280000000000001,39.45861111111111,5.33,0.89
176,00 40 26.4,-59 27 16,10.11,-59.45444444444445,5.89,0.55
177,00 42 03.4,+66 08 51,10.514166666666666,66.14750000000001,5.83,1.04
178,00 41 36.0,+24 37 45,10.4,24.629166666666666,6.04,0.26
179,00 42 03.9,+50 30 45,10.51625,50.5125,4.8,-0.11
180,00 41 19.6,-46 05 06,10.331666666666667,-46.085,4.59,0.97
181,00 42 31.1,+58 45 12,10.629583333333333,58.75333333333333,6.17,-0.01
183,00 41 46.4,-56 30 06,10.443333333333333,-56.501666666666665,5.7,0.2
184,00 43 28.1,+47 01 29,10.867083333333333,47.02472222222222,4.94,0.18
185,00 42 42.9,-38 27 48,10.678749999999999,-38.46333333333334,6.06,-0.03
186,00 42 41.8,-60 15 45,10.674166666666666,-60.2625,5.98,1.32
187,00 42 28.4,-65 28 05,10.618333333333332,-65.46805555555555,5.39,0.5
188,00 43 35.4,-17 59 12,10.8975,-17.986666666666668,2.04,1.02
189,00 44 26.4,+47 51 51,11.11,47.86416666666667,5.67,-0.12
190,00 43 50.2,-12 00 42,10.959166666666667,-12.011666666666667,6.02,1.1
191,00 43 21.2,-57 27 47,10.838333333333335,-57.463055555555556,4.36,0.0
192,00 45 39.0,+74 59 17,11.4125,74.98805555555556,5.66,0.05
193,00 44 43.5,+48 17 04,11.181249999999999,48.28444444444444,4.54,-0.07
194,00 44 11.4,-10 36 34,11.0475,-10.609444444444444,4.76,1.01
195,00 44 12.1,-38 25 18,11.050416666666667,-38.42166666666667,5.9,1.16
196,00 45 17.2,+55 13 18,11.321666666666667,55.22166666666667,5.42,0.04
197,00 44 44.4,-22 00 22,11.184999999999999,-22.00611111111111,5.24,0.33
198,00 44 57.1,-42 40 36,11.237916666666665,-42.67666666666666,5.94,0.28
199,00 44 32.3,-62 29 52,11.134583333333333,-62.49777777777778,6.07,0.44
200,00 46 39.0,+69 19 30,11.662500000000001,69.325,6.33,
201,00 45 24.1,-04 37 45,11.350416666666666,-4.629166666666667,6.15,1.62
202,00 45 00.0,-53 42 54,11.25,-53.715,6.15,0.53
203,00 45 28.7,-12 52 51,11.369583333333335,-12.880833333333333,6.15,0.61
204,00 46 15.1,+55 18 19,11.562916666666666,55.305277777777775,6.52,
205,00 46 10.9,+44 51 41,11.545416666666666,44.86138888888889,6.05,-0.07
206,00 45 41.7,-16 25 27,11.423749999999998,-16.424166666666668,6.47,0.31
207,00 46 42.4,+59 34 28,11.676666666666668,59.574444444444445,6.39,1.09
208,00 47 46.1,+74 50 51,11.942083333333333,74.8475,5.41,-0.08
209,00 45 45.6,-47 33 06,11.440000000000001,-47.55166666666666,5.8,0.64
210,00 46 11.8,-22 31 19,11.549166666666668,-22.521944444444443,5.5,0.98
211,00 46 33.0,+15 28 32,11.637500000000001,15.475555555555555,5.38,1.65
212,00 48 09.1,+72 40 30,12.037916666666668,72.67500000000001,5.87,1.01
213,00 47 01.5,+11 58 26,11.75625,11.973888888888888,5.5,0.97
214,00 47 13.6,+19 34 44,11.806666666666667,19.578888888888887,6.13,0.27
215,00 47 20.3,+24 16 02,11.834583333333333,24.26722222222222,4.06,1.12
216,00 47 23.6,+06 44 27,11.848333333333333,6.740833333333334,5.99,0.94
217,00 47 54.8,+20 55 31,11.978333333333333,20.92527777777778,6.54,0.5
218,00 47 43.3,-18 03 41,11.930416666666666,-18.06138888888889,5.7,1.3
219,00 49 06.0,+57 48 57,12.275,57.81583333333333,3.44,0.57
220,00 48 01.1,-21 43 21,12.004583333333334,-21.722499999999997,5.57,-0.06
221,00 48 17.4,+07 18 00,12.072500000000002,7.3,5.93,1.1
222,00 48 23.0,+05 16 50,12.095833333333333,5.280555555555556,5.75,0.88
223,00 48 50.1,+50 58 06,12.20875,50.968333333333334,4.89,-0.11
224,00 48 41.0,+07 35 06,12.170833333333334,7.585,4.43,1.5
225,00 48 58.7,+16 56 26,12.244583333333335,16.940555555555555,5.07,0.51
226,00 49 48.8,+41 04 44,12.453333333333333,41.07888888888889,4.53,-0.15
227,00 49 25.6,-13 33 41,12.356666666666666,-13.561388888888889,5.59,1.3
228,00 49 13.9,-24 08 11,12.307916666666666,-24.136388888888888,5.9,0.95
229,00 48 56.7,-46 41 52,12.236250000000002,-46.69777777777777,6.27,0.9
230,00 49 52.8,+27 42 39,12.47,27.710833333333333,7.0,0.36
231,00 49 53.2,+27 42 37,12.471666666666666,27.710277777777776,7.1,
232,00 49 33.4,-23 21 42,12.389166666666668,-23.361666666666668,6.28,0.13
233,00 50 43.6,+64 14 51,12.681666666666667,64.2475,5.39,0.49
234,00 50 18.3,+45 00 08,12.57625,45.00222222222222,6.15,0.01
235,00 50 07.6,-10 38 40,12.531666666666666,-10.644444444444444,5.19,0.5
236,00 48 35.4,-74 55 24,12.1475,-74.92333333333333,5.07,1.37
237,00 51 16.4,+61 48 21,12.818333333333333,61.80583333333333,6.07,1.88
238,00 50 57.4,+51 30 29,12.739166666666668,51.50805555555556,6.39,0.28
239,00 50 03.7,-43 23 41,12.515416666666667,-43.39472222222222,6.48,0.29
240,00 54 53.1,+83 42 26,13.721250000000001,83.70722222222223,5.62,0.09
241,00 51 33.7,+51 34 16,12.890416666666667,51.571111111111115,6.21,
242,00 50 41.2,-50 59 13,12.671666666666667,-50.98694444444445,5.22,0.36
243,00 51 18.3,+03 23 06,12.82625,3.385,6.37,1.07
244,00 53 04.1,+61 07 27,13.267083333333334,61.12416666666667,4.82,0.53
245,00 51 52.1,-43 42 33,12.967083333333333,-43.70916666666667,6.9,0.35
246,00 52 53.4,+38 32 55,13.2225,38.54861111111111,6.69,0.02
247,00 52 40.6,-24 00 21,13.169166666666667,-24.00583333333333,5.46,1.24
248,00 53 00.5,-01 08 39,13.252083333333333,-1.1441666666666666,4.77,1.57
249,00 53 28.2,+37 25 05,13.3675,37.418055555555554,6.06,1.14
250,00 53 47.6,+52 41 21,13.448333333333334,52.689166666666665,6.27,0.19
251,00 53 12.4,-24 46 37,13.301666666666666,-24.776944444444442,6.46,0.44
252,00 52 24.3,-69 30 16,13.10125,-69.50444444444445,6.22,0.56
253,00 55 00.1,+58 58 22,13.750416666666666,58.97277777777778,4.83,1.21
254,00 54 35.2,+19 11 18,13.646666666666667,19.188333333333333,5.74,-0.01
255,00 54 17.6,-08 44 27,13.573333333333334,-8.740833333333333,6.16,0.92
256,00 55 05.2,+48 40 43,13.771666666666667,48.67861111111111,6.27,1.68
257,00 53 37.9,-62 52 17,13.407916666666667,-62.87138888888889,5.7,1.56
258,00 54 58.0,+23 37 42,13.741666666666667,23.628333333333334,5.47,1.0
259,00 55 14.7,+24 33 25,13.81125,24.556944444444444,6.2,1.62
260,00 56 12.9,+57 59 48,14.05375,57.99666666666667,6.21,1.37
261,00 56 55.6,+68 46 34,14.231666666666667,68.7761111111111,6.37,0.38
262,00 55 58.5,+27 12 34,13.993749999999999,27.209444444444443,6.09,0.14
263,00 55 42.4,-07 20 50,13.926666666666666,-7.347222222222222,5.85,1.52
264,00 56 42.5,+60 43 00,14.177083333333332,60.71666666666667,2.47,-0.15
265,00 56 39.8,+59 10 52,14.165833333333333,59.18111111111111,4.63,0.96
266,00 56 47.1,+60 21 46,14.196250000000001,60.36277777777778,5.55,-0.07
267,00 56 01.5,-11 16 00,14.00625,-11.266666666666667,5.31,1.52
268,00 55 55.5,-27 46 32,13.98125,-27.775555555555556,6.1,1.67
269,00 56 45.2,+38 29 58,14.188333333333333,38.49944444444444,3.87,0.13
270,00 55 00.3,-69 31 37,13.751249999999999,-69.52694444444444,5.45,1.09
271,00 57 12.4,+23 25 03,14.301666666666666,23.4175,4.42,0.94
272,00 57 39.7,+45 50 23,14.415416666666665,45.83972222222222,6.12,1.02
273,00 58 31.1,+66 21 08,14.629583333333333,66.35222222222221,5.97,-0.02
274,00 57 50.2,+28 59 32,14.459166666666667,28.992222222222225,5.42,1.08
275,00 58 14.2,+33 57 03,14.559166666666666,33.950833333333335,5.98,1.0
276,00 57 54.5,+13 41 45,14.477083333333333,13.695833333333333,6.32,0.89
277,00 58 18.9,+21 24 16,14.57875,21.404444444444444,6.37,0.09
278,01 00 31.0,+70 58 59,15.129166666666666,70.98305555555555,6.39,0.13
279,00 58 43.9,-11 22 48,14.682916666666666,-11.38,5.61,0.97
280,00 58 36.4,-29 21 27,14.651666666666666,-29.3575,4.31,-0.16
281,00 58 22.4,-60 41 47,14.593333333333334,-60.69638888888888,6.23,0.1
282,01 00 03.4,+44 42 40,15.014166666666666,44.711111111111116,6.84,
283,01 00 03.6,+44 42 48,15.014999999999999,44.71333333333334,6.04,-0.01
284,00 59 49.7,+06 28 59,14.957083333333332,6.483055555555556,6.11,1.67
285,01 08 44.7,+86 15 25,17.18625,86.25694444444444,4.25,1.21
286,01 33 50.4,+89 00 56,23.46,89.01555555555555,6.46,0.11
287,01 02 18.4,+51 02 06,15.576666666666668,51.035,6.47,
288,01 01 18.3,-38 55 00,15.326249999999998,-38.916666666666664,5.59,1.18
289,01 03 01.5,+47 22 34,15.756250000000001,47.376111111111115,6.45,0.25
290,01 02 54.3,+41 20 42,15.726250000000002,41.345,5.98,0.16
291,01 02 49.1,+31 48 16,15.704583333333336,31.804444444444446,5.5,-0.05
292,01 03 37.0,+61 04 30,15.904166666666669,61.075,5.92,0.49
293,01 02 26.4,-31 33 07,15.610000000000003,-31.551944444444445,5.5,0.08
294,01 02 56.6,+07 53 24,15.735833333333334,7.89,4.28,0.96
295,01 02 01.8,-57 00 09,15.5075,-57.0025,6.11,0.94
296,01 03 02.6,-04 50 12,15.760833333333334,-4.836666666666666,5.43,1.11
297,01 04 19.6,+61 34 49,16.081666666666663,61.58027777777778,5.84,0.54
298,01 04 02.4,+52 30 08,16.009999999999998,52.50222222222222,5.99,1.47
299,01 02 49.2,-46 23 51,15.705000000000002,-46.3975,5.36,0.9
300,01 03 17.6,-29 31 33,15.823333333333334,-29.52583333333333,6.29,0.93
301,01 03 49.0,+01 22 00,15.954166666666666,1.3666666666666667,6.04,0.27
302,01 04 46.8,+51 00 36,16.194999999999997,51.01,6.54,-0.08
303,01 04 27.6,+29 39 31,16.115000000000002,29.65861111111111,6.19,0.43
304,01 02 42.9,-65 27 22,15.67875,-65.45611111111111,6.21,1.64
305,01 04 36.4,+39 59 28,16.151666666666667,39.99111111111111,6.72,0.31
306,01 16 13.5,+87 08 43,19.05625,87.14527777777778,6.25,1.12
307,01 04 52.6,+05 39 23,16.219166666666666,5.656388888888889,6.0,1.51
308,01 05 05.4,+14 56 46,16.2725,14.946111111111112,5.68,0.41
309,01 06 22.8,+62 45 42,16.595000000000002,62.76166666666666,6.54,0.19
310,01 05 40.9,+21 28 24,16.420416666666668,21.473333333333333,5.34,-0.03
311,01 05 41.7,+21 27 55,16.42375,21.46527777777778,5.56,-0.07
312,01 09 12.3,+80 00 42,17.30125,80.01166666666667,6.29,
313,01 05 49.2,+04 54 30,16.455,4.908333333333334,6.35,0.38
314,01 05 51.4,+04 54 34,16.464166666666667,4.9094444444444445,7.25,0.49
315,01 05 36.8,-09 58 45,16.403333333333332,-9.979166666666666,6.12,1.01
316,01 07 00.2,+56 56 06,16.750833333333333,56.934999999999995,6.43,1.18
317,01 06 05.1,-09 50 22,16.521250000000002,-9.839444444444444,5.58,0.01
318,01 07 09.5,+53 29 54,16.789583333333333,53.498333333333335,6.38,
319,01 06 33.6,+12 57 22,16.640000000000004,12.95611111111111,6.12,0.96
320,01 06 07.7,-23 59 33,16.532083333333336,-23.9925,6.14,1.09
321,01 08 16.4,+54 55 13,17.068333333333335,54.92027777777778,5.17,0.69
322,01 06 05.0,-46 43 07,16.520833333333336,-46.718611111111116,3.31,0.89
323,01 06 26.5,-35 39 39,16.61041666666667,-35.66083333333333,6.61,0.14
324,01 08 00.9,+43 56 31,17.00375,43.94194444444444,5.03,0.11
325,01 07 13.1,-23 59 47,16.804583333333333,-23.99638888888889,6.37,0.23
326,01 08 33.3,+58 15 49,17.138749999999998,58.26361111111111,5.79,-0.01
327,01 08 01.3,+32 00 44,17.005416666666665,32.01222222222222,6.25,0.4
328,01 07 57.2,+20 44 21,16.988333333333333,20.739166666666666,5.55,0.13
329,01 07 46.2,-09 47 08,16.9425,-9.785555555555556,5.82,0.43
330,01 08 22.2,+05 38 59,17.0925,5.649722222222222,5.52,0.34
331,01 07 47.9,-41 29 13,16.949583333333333,-41.48694444444445,5.21,0.16
332,01 07 18.7,-61 46 31,16.827916666666667,-61.775277777777774,5.37,0.88
333,01 12 16.7,+79 40 26,18.069583333333334,79.6738888888889,5.64,0.01
334,01 08 35.4,-10 10 56,17.1475,-10.182222222222222,3.45,1.16
335,01 09 30.2,+47 14 31,17.37583333333333,47.24194444444444,4.25,-0.07
336,01 10 39.3,+68 46 43,17.66375,68.7786111111111,5.29,-0.02
337,01 09 43.9,+35 37 14,17.432916666666664,35.620555555555555,2.06,1.58
338,01 08 23.1,-55 14 45,17.09625,-55.24583333333334,3.92,-0.08
339,01 09 49.2,+19 39 31,17.455,19.65861111111111,5.55,0.69
340,01 10 18.8,+42 04 53,17.578333333333333,42.081388888888895,5.65,0.6
341,01 10 19.4,+25 27 28,17.580833333333334,25.45777777777778,5.8,1.47
342,01 11 25.6,+64 12 10,17.856666666666666,64.20277777777778,5.55,-0.07
343,01 11 06.2,+55 08 59,17.77583333333333,55.14972222222222,4.33,0.17
344,01 10 11.5,+15 40 27,17.54791666666667,15.674166666666666,6.06,1.49
345,01 11 41.4,+65 01 08,17.9225,65.01888888888888,5.57,-0.09
346,01 10 12.0,-08 54 22,17.55,-8.90611111111111,6.4,1.04
347,01 10 33.6,+02 26 44,17.64,2.445555555555556,5.95,1.51
